date,time (UTC),upward sensible heat flux in air (W m-2) (H),quality flag upward sensible heat flux in air (cat) (qc_H),upward latent heat flux in air (W m-2) (LE),quality flag upward latent heat flux in air (cat) (qc_LE),H2O signal strength infrared gasanalyser  (1) (H2O_sig_strgth_mean),upward mole flux of carbon dioxide in air (1e-6 mol s-1 m-2) (co2_flux),quality flag upward mole flux of carbon dioxide in air (cat) (qc_co2_flux),CO2 signal strength infrared gasanalyser (1) (CO2_sig_strgth_mean),wind speed (m s-1) (wind_speed),wind from direction (degree) (wind_dir),friction velocity (m s-1) (u*),obukhov length (m) (L),monin-obukhov stability parameter (1) ((z-d)/L),bowen ratio (1) (bowen_ratio),northward wind (m2 s-2) (v_var),w wind component (m s-1) (w_unrot),air temperature (degree_C) (T_40m_Avg),relative humidity (%) (RH_40m_Avg),downwelling shortwave flux in air (W m-2) (SPN_TOTAL_Avg),diffuse downwelling shortwave flux in air (W m-2) (SPN_DIFFUSE_Avg),downwelling shortwave flux in air (W m-2) (Rs_downwell_Avg),downwelling longwave flux in air (W m-2) (Rl_downwell_Avg),upwelling shortwave flux in air (W m-2) (Rs_upwell_Avg),upwelling longwave flux in air (W m-2) (Rl_upwell_Avg),surface net downward radiative flux (W m-2)
01.06.2018,00:30:00,-13.5064,0,5.37309,0,0.982071,3.94523,0,0.982442,2.25009,40.584,0.22806,76.9115,0.342602,-2.51371,0.487604,-0.0772911,NA,NA,0,0,0,366.584,0,434.699,-68.1146
01.06.2018,01:00:00,-22.4803,1,8.30238,2,0.981964,6.23093,1,0.982327,2.00935,39.7463,0.264747,72.2846,0.364531,-2.7077,0.511203,-0.0374984,NA,NA,0,0,0,365.301,0,432.322,-67.0211
01.06.2018,01:30:00,-9.13439,0,3.84668,1,0.981534,3.44334,0,0.981891,2.59065,28.407,0.217814,99.0773,0.265954,-2.37461,0.227553,-0.127114,NA,NA,0,0,0,362.45,0,429.217,-66.7666
01.06.2018,02:00:00,-3.00922,0,-9.68833,1,0.981162,6.33768,0,0.98151,3.0109,23.8936,0.319352,948.015,0.0277949,0.310602,0.240727,-0.190373,NA,NA,0,0,0,360.687,0,426.682,-65.9949
01.06.2018,02:30:00,-11.9135,0,7.06506,0,0.98102,4.15959,0,0.981316,3.02013,37.6487,0.321252,243.776,0.108091,-1.68626,0.274002,-0.0906219,NA,NA,0,0,0,359.786,0,424.538,-64.7519
01.06.2018,03:00:00,-9.39931,0,7.86737,0,0.98088,5.3866,0,0.981166,3.13167,44.2585,0.402301,606.802,0.0434244,-1.19472,0.344636,-0.0547302,NA,NA,2.22068,1.4164,0,359.592,0,423.305,-63.7131
01.06.2018,03:30:00,-6.15482,0,5.18121,0,0.980823,2.60555,0,0.981075,2.74514,45.1442,0.319914,465.999,0.0565452,-1.18791,0.247473,-0.0772814,NA,NA,19.8354,17.8196,10.8681,358.983,0,422.46,-52.6089
01.06.2018,04:00:00,-4.39204,0,11.9757,0,0.980978,3.98979,0,0.981202,2.29453,56.1048,0.336405,759.282,0.0347039,-0.366746,0.352218,-0.03902,NA,NA,49.0502,37.074,46.1018,357.644,0.699037,422.771,-19.724
01.06.2018,04:30:00,4.41135,0,17.337,0,0.980623,2.97386,0,0.980784,3.05711,56.6988,0.420553,-1477.05,-0.0178397,0.254447,0.664896,-0.0301359,NA,NA,108.141,58.067,106.374,356.848,14.473,424.075,24.6733
01.06.2018,05:00:00,17.446,0,22.4899,0,0.980552,1.81132,2,0.980838,3.30396,55.5432,0.43274,-406.898,-0.0647582,0.775726,0.813069,-0.0746397,NA,NA,177.444,75.686,171.92,357.45,22.221,425.974,81.1747
01.06.2018,05:30:00,28.5743,0,30.3418,0,0.980151,0.770388,1,0.980482,2.96268,63.7157,0.444211,-268.732,-0.0980532,0.941745,0.701699,-0.0346589,NA,NA,250.312,87.5565,246.425,358.707,31.4148,428.983,144.733
01.06.2018,06:00:00,51.8264,0,45.674,0,0.979996,2.35595,0,0.980338,2.60561,68.1768,0.445388,-149.348,-0.176433,1.1347,0.906868,0.0530299,NA,NA,322.302,100.538,321.16,361.044,40.3592,433.156,208.688
01.06.2018,06:30:00,91.7566,0,67.2931,0,0.979875,4.4774,2,0.980254,2.79796,60.6883,0.511479,-127.76,-0.206247,1.36354,1.17351,0.0863212,NA,NA,391.478,106.393,399.043,363.227,49.6499,438.353,274.267
01.06.2018,07:00:00,83.248,0,62.7353,0,0.979465,3.23103,0,0.979827,2.53759,82.0576,0.474387,-112.367,-0.2345,1.32697,0.996957,0.0253529,NA,NA,462.094,116.592,472.281,365.806,58.1323,443.361,336.593
01.06.2018,07:30:00,91.9874,0,60.4522,0,0.979624,-2.47028,1,0.980023,2.03292,137.277,0.404686,-63.141,-0.41732,1.52166,0.980496,0.17378,NA,NA,399.944,194.657,401.31,372.894,47.7776,447.78,278.647
01.06.2018,08:00:00,66.0248,0,58.4169,0,0.980057,-4.67998,0,0.98032,1.55315,166.437,0.260695,-23.5217,-1.12024,1.13023,0.570908,0.0761538,NA,NA,485.721,326.801,475.851,389.357,58.6273,451.394,355.187
01.06.2018,08:30:00,144.78,0,180.963,0,0.979712,-7.6136,0,0.980006,1.26523,181.56,0.352466,-26.5139,-0.99382,0.800051,0.737521,0.0628119,NA,NA,655.06,429.052,643.949,396.215,81.6369,462.137,496.389
01.06.2018,09:00:00,170.409,0,155.305,0,0.980342,-8.65664,0,0.980641,0.689245,283.135,0.427616,-40.2272,-0.65503,1.09725,0.559721,0.0299191,NA,NA,651.732,365.569,662.307,389.837,81.6753,467.236,503.233
01.06.2018,09:30:00,229.204,1,212.839,1,0.979603,-3.35407,1,0.980122,0.262751,274.007,0.58594,-76.9305,-0.342517,1.07689,0.800567,0.0937052,NA,NA,594.488,339.652,589.627,396.94,72.4142,472.373,441.78
01.06.2018,10:00:00,145.171,0,179.452,1,0.979553,-5.23073,0,0.979931,2.2782,216.922,0.503346,-76.9838,-0.34228,0.808969,0.683959,0.136189,NA,NA,539.688,369.175,546.562,397.224,66.9784,468.848,407.96
01.06.2018,10:30:00,265.87,0,189.533,0,0.978252,-13.0383,0,0.978633,2.64957,215.388,0.524463,-47.5577,-0.554064,1.40277,0.850425,0.0581078,NA,NA,885.932,293.407,893.969,389.705,109.331,479.131,695.213
01.06.2018,11:00:00,240.06,1,143.596,0,0.97756,-5.26407,1,0.978121,3.59832,204.628,0.459386,-35.3908,-0.744543,1.67177,1.10863,0.0859242,NA,NA,826.477,328.682,818.984,390.304,98.7332,480.047,630.508
01.06.2018,11:30:00,167.549,0,108.381,0,0.979609,-2.74573,0,0.979896,2.82638,233.001,0.607278,-117.148,-0.224928,1.54593,1.15991,-0.0296356,NA,NA,623.868,352.143,637.73,392.722,78.4506,471.171,480.831
01.06.2018,12:00:00,301.806,0,237.954,0,0.979542,-8.70702,0,0.979827,1.9074,273.418,0.621342,-69.6419,-0.378364,1.26834,1.24882,-0.176781,NA,NA,822.4,175.311,851.731,384.357,106.116,482.516,647.456
01.06.2018,12:30:00,208.544,0,100.652,0,0.979829,-3.82301,0,0.980135,1.09579,338.88,0.460956,-41.1382,-0.640524,2.07193,1.36745,-0.229195,NA,NA,813.458,162.358,838.398,385.781,110.575,487.656,625.947
01.06.2018,13:00:00,238.977,0,163.427,0,0.979665,-2.42951,0,0.980004,1.20959,356.718,0.516113,-50.3778,-0.523048,1.46228,1.30634,-0.168986,NA,NA,821.487,191.076,833.618,389.887,109.781,491.166,622.559
01.06.2018,13:30:00,247.235,1,331.86,1,0.979703,-3.7008,0,0.980096,0.896298,273.074,0.617718,-83.4741,-0.315667,0.744997,1.33304,-0.222529,NA,NA,834.751,249.155,846.86,394.931,111.942,494.523,635.326
